168792
21097	19	187552
46101	3	54742
8177	20	104035
17750	19	164285
10371	18	118356
35710	5	55608
35092	5	54476
9174	19	80699
15009	19	148743
6263	19	91228
28378	0	22662
4678	15	78742
13248	24	136593
15594	20	152387
45225	3	58112
5667	15	86480
4716	18	79093
12566	20	131674
17041	18	160670
36260	4	44364
8025	17	102934
37611	7	2363
6851	15	95062
11216	18	123595
2139	19	72552
13855	19	140878
11364	18	124611
23590	11	67526
14852	16	147650
13242	21	136564
40918	8	50347
30243	11	71643
8807	20	58066
8101	19	103543
34656	9	49854
37343	5	54739
9079	18	109495
24972	11	64858
37633	5	58807
16023	20	152914
12165	20	129454
20900	17	185908
8580	19	106464
3726	17	174083
5070	19	77725
9406	20	111754
39882	4	47746
17342	17	162705
9529	17	112572
12326	25	130477
43673	3	55141
44014	3	55897
17550	19	106735
7764	19	100955
13557	17	138574
12657	19	114124
5713	19	86764
39745	8	57923
14724	21	146815
35960	7	1539
21661	14	69817
19838	17	178906
9897	19	115289
5762	22	32681
11776	20	126953
5117	19	82366
18614	20	170896
11888	16	127704
29863	0	22400
40885	8	54666
9026	20	109065
19371	19	85806
20713	17	184339
20525	20	183169
38858	7	989
38030	7	2536
15331	19	150593
20263	18	181499
8163	23	31430
18374	19	148990
8012	19	102838
40445	8	59762
20484	16	182957
19943	19	139554
19220	19	174809
10242	15	117624
23477	11	67291
19828	22	32825
40326	10	48807
20082	19	115092
8641	20	58066
13252	15	136614
4937	15	81005
10213	19	91722
4998	15	81428
10270	22	32747
12574	20	131714
40474	4	48279
10122	21	116880
12441	17	131057
15299	19	95244
17913	19	153712
24439	11	63309
29903	0	22717
34580	4	42761
33461	4	41682
36142	6	49805
5444	19	84701
14158	17	142901
9036	18	109170
18811	15	172318
6083	19	89914
20647	17	183925
14887	20	147868
29150	1	25357
9866	19	114928
9310	20	111123
7565	24	99644
4866	17	80556
4130	17	74318
13055	19	135257
20712	20	184201
15359	19	150798
18247	15	168394
14462	19	144986
13072	15	135377
12216	18	129913
10857	20	121009
5439	17	84663
14416	21	144668
17001	19	98866
16608	19	158506
15466	16	151543
39964	4	47825
34436	10	48807
38782	8	54551
19131	18	174216
12564	15	131685
21110	19	187661
9137	20	109909
14155	16	142882
16860	15	159752
10181	17	117292
14565	17	145727
5866	19	87768
7957	18	102394
39723	5	61378
33386	6	49805
23184	11	66651
16379	16	157274
14452	16	144917
36409	6	49805
33542	5	51754
8574	20	58066
10046	19	88450
27798	1	24391
9418	19	111900
18889	19	152913
45917	3	59072
8984	20	108664
8398	15	105412
15703	19	127710
14769	17	147129
29842	1	25880
17612	20	164492
21272	19	189384
40915	8	50347
39413	5	61003
8964	20	108664
20396	16	182390
